,0,Date,class,domain,lookback
0,0.0,2000-02-02,commodity,oil,22
1,0.0,2000-02-03,commodity,oil,22
2,0.0,2000-02-04,commodity,oil,22
3,0.0,2000-02-07,commodity,oil,22
4,0.0,2000-02-08,commodity,oil,22
5,0.0,2000-02-09,commodity,oil,22
6,0.0,2000-02-10,commodity,oil,22
7,0.0,2000-02-11,commodity,oil,22
8,0.0,2000-02-14,commodity,oil,22
9,0.0,2000-02-15,commodity,oil,22
10,0.0,2000-02-16,commodity,oil,22
11,0.0,2000-02-17,commodity,oil,22
12,0.0,2000-02-18,commodity,oil,22
13,0.0,2000-02-21,commodity,oil,22
14,0.0,2000-02-22,commodity,oil,22
15,0.0,2000-02-23,commodity,oil,22
16,0.0,2000-02-24,commodity,oil,22
17,0.0,2000-02-25,commodity,oil,22
18,0.0,2000-02-28,commodity,oil,22
19,0.0,2000-02-29,commodity,oil,22
20,0.0,2000-03-01,commodity,oil,22
21,0.0,2000-03-02,commodity,oil,22
22,0.0,2000-03-03,commodity,oil,22
23,0.0,2000-03-06,commodity,oil,22
24,0.0,2000-03-07,commodity,oil,22
25,0.0,2000-03-08,commodity,oil,22
26,0.0,2000-03-09,commodity,oil,22
27,0.0,2000-03-10,commodity,oil,22
28,0.0,2000-03-13,commodity,oil,22
29,0.0,2000-03-14,commodity,oil,22
30,0.0,2000-03-15,commodity,oil,22
31,0.0,2000-03-16,commodity,oil,22
32,0.0,2000-03-17,commodity,oil,22
33,0.0,2000-03-20,commodity,oil,22
34,0.0,2000-03-21,commodity,oil,22
35,0.0,2000-03-22,commodity,oil,22
36,0.0,2000-03-23,commodity,oil,22
37,0.0,2000-03-24,commodity,oil,22
38,0.0,2000-03-27,commodity,oil,22
39,0.0,2000-03-28,commodity,oil,22
40,0.0,2000-03-29,commodity,oil,22
41,0.0,2000-03-30,commodity,oil,22
42,0.0,2000-03-31,commodity,oil,22
43,0.0,2000-04-03,commodity,oil,22
44,0.0,2000-04-04,commodity,oil,22
45,0.0,2000-04-05,commodity,oil,22
46,0.0,2000-04-06,commodity,oil,22
47,0.0,2000-04-07,commodity,oil,22
48,0.0,2000-04-10,commodity,oil,22
49,0.0,2000-04-11,commodity,oil,22
50,0.0,2000-04-12,commodity,oil,22
51,0.0,2000-04-13,commodity,oil,22
52,0.0,2000-04-14,commodity,oil,22
53,0.0,2000-04-17,commodity,oil,22
54,0.0,2000-04-18,commodity,oil,22
55,0.0,2000-04-19,commodity,oil,22
56,0.0,2000-04-20,commodity,oil,22
57,0.0,2000-04-21,commodity,oil,22
58,0.0,2000-04-24,commodity,oil,22
59,0.0,2000-04-25,commodity,oil,22
60,0.0,2000-04-26,commodity,oil,22
61,0.0,2000-04-27,commodity,oil,22
62,0.0,2000-04-28,commodity,oil,22
63,0.0,2000-05-01,commodity,oil,22
64,0.0,2000-05-02,commodity,oil,22
65,0.0,2000-05-03,commodity,oil,22
66,0.0,2000-05-04,commodity,oil,22
67,0.0,2000-05-05,commodity,oil,22
68,0.0,2000-05-08,commodity,oil,22
69,0.0,2000-05-09,commodity,oil,22
70,0.0,2000-05-10,commodity,oil,22
71,0.0,2000-05-11,commodity,oil,22
72,0.0,2000-05-12,commodity,oil,22
73,0.0,2000-05-15,commodity,oil,22
74,0.0,2000-05-16,commodity,oil,22
75,0.0,2000-05-17,commodity,oil,22
76,0.0,2000-05-18,commodity,oil,22
77,0.0,2000-05-19,commodity,oil,22
78,0.0,2000-05-22,commodity,oil,22
79,0.0,2000-05-23,commodity,oil,22
80,0.0,2000-05-24,commodity,oil,22
81,0.0,2000-05-25,commodity,oil,22
82,0.0,2000-05-26,commodity,oil,22
83,0.0,2000-05-29,commodity,oil,22
84,0.0,2000-05-30,commodity,oil,22
85,0.0,2000-05-31,commodity,oil,22
86,0.0,2000-06-01,commodity,oil,22
87,0.0,2000-06-02,commodity,oil,22
88,0.0,2000-06-05,commodity,oil,22
89,0.0,2000-06-06,commodity,oil,22
90,0.0,2000-06-07,commodity,oil,22
91,0.0,2000-06-08,commodity,oil,22
92,0.0,2000-06-09,commodity,oil,22
93,0.0,2000-06-12,commodity,oil,22
94,0.0,2000-06-13,commodity,oil,22
95,0.0,2000-06-14,commodity,oil,22
96,0.0,2000-06-15,commodity,oil,22
97,0.0,2000-06-16,commodity,oil,22
98,0.0,2000-06-19,commodity,oil,22
99,0.0,2000-06-20,commodity,oil,22
100,0.0,2000-06-21,commodity,oil,22
101,0.0,2000-06-22,commodity,oil,22
102,0.0,2000-06-23,commodity,oil,22
103,0.0,2000-06-26,commodity,oil,22
104,0.0,2000-06-27,commodity,oil,22
105,0.0,2000-06-28,commodity,oil,22
106,0.0,2000-06-29,commodity,oil,22
107,0.0,2000-06-30,commodity,oil,22
108,0.0,2000-07-03,commodity,oil,22
109,0.0,2000-07-04,commodity,oil,22
110,0.0,2000-07-05,commodity,oil,22
111,0.0,2000-07-06,commodity,oil,22
112,0.0,2000-07-07,commodity,oil,22
113,0.0,2000-07-10,commodity,oil,22
114,0.0,2000-07-11,commodity,oil,22
115,0.0,2000-07-12,commodity,oil,22
116,0.0,2000-07-13,commodity,oil,22
117,0.0,2000-07-14,commodity,oil,22
118,0.0,2000-07-17,commodity,oil,22
119,0.0,2000-07-18,commodity,oil,22
120,0.0,2000-07-19,commodity,oil,22
121,0.0,2000-07-20,commodity,oil,22
122,0.0,2000-07-21,commodity,oil,22
123,0.0,2000-07-24,commodity,oil,22
124,0.0,2000-07-25,commodity,oil,22
125,0.0,2000-07-26,commodity,oil,22
126,0.0,2000-07-27,commodity,oil,22
127,0.0,2000-07-28,commodity,oil,22
128,0.0,2000-07-31,commodity,oil,22
129,0.0,2000-08-01,commodity,oil,22
130,0.0,2000-08-02,commodity,oil,22
131,0.0,2000-08-03,commodity,oil,22
132,0.0,2000-08-04,commodity,oil,22
133,0.0,2000-08-07,commodity,oil,22
134,0.0,2000-08-08,commodity,oil,22
135,0.0,2000-08-09,commodity,oil,22
136,0.0,2000-08-10,commodity,oil,22
137,0.0,2000-08-11,commodity,oil,22
138,0.0,2000-08-14,commodity,oil,22
139,0.0,2000-08-15,commodity,oil,22
140,0.0,2000-08-16,commodity,oil,22
141,0.0,2000-08-17,commodity,oil,22
142,0.0,2000-08-18,commodity,oil,22
143,0.0,2000-08-21,commodity,oil,22
144,0.0,2000-08-22,commodity,oil,22
145,0.0,2000-08-23,commodity,oil,22
146,0.0,2000-08-24,commodity,oil,22
147,0.0,2000-08-25,commodity,oil,22
148,0.0,2000-08-28,commodity,oil,22
149,0.0,2000-08-29,commodity,oil,22
150,0.0,2000-08-30,commodity,oil,22
151,0.0,2000-08-31,commodity,oil,22
152,0.0,2000-09-01,commodity,oil,22
153,0.0,2000-09-04,commodity,oil,22
154,0.0,2000-09-05,commodity,oil,22
155,0.0,2000-09-06,commodity,oil,22
156,0.0,2000-09-07,commodity,oil,22
157,0.0,2000-09-08,commodity,oil,22
158,0.0,2000-09-11,commodity,oil,22
159,0.0,2000-09-12,commodity,oil,22
160,0.0,2000-09-13,commodity,oil,22
161,0.0,2000-09-14,commodity,oil,22
162,0.0,2000-09-15,commodity,oil,22
163,0.0,2000-09-18,commodity,oil,22
164,0.0,2000-09-19,commodity,oil,22
165,0.0,2000-09-20,commodity,oil,22
166,0.0,2000-09-21,commodity,oil,22
167,0.0,2000-09-22,commodity,oil,22
168,0.0,2000-09-25,commodity,oil,22
169,0.0,2000-09-26,commodity,oil,22
