,0,Date,class,domain,lookback
0,0.0057915057915057,2000-12-29,credit,global,252
1,0.0,2001-01-01,credit,global,252
2,0.0,2001-01-02,credit,global,252
3,0.0,2001-01-03,credit,global,252
4,0.0,2001-01-04,credit,global,252
5,0.0,2001-01-05,credit,global,252
6,0.0,2001-01-08,credit,global,252
7,0.0,2001-01-09,credit,global,252
8,0.0,2001-01-10,credit,global,252
9,0.0,2001-01-11,credit,global,252
10,0.0,2001-01-12,credit,global,252
11,0.0,2001-01-15,credit,global,252
12,0.0,2001-01-16,credit,global,252
13,0.0,2001-01-17,credit,global,252
14,0.0,2001-01-18,credit,global,252
15,0.0,2001-01-19,credit,global,252
16,0.0,2001-01-22,credit,global,252
17,0.0,2001-01-23,credit,global,252
18,0.0,2001-01-24,credit,global,252
19,0.0,2001-01-25,credit,global,252
20,0.0,2001-01-26,credit,global,252
21,0.0,2001-01-29,credit,global,252
22,0.0,2001-01-30,credit,global,252
23,0.0009652509652509,2001-01-31,credit,global,252
24,0.0,2001-02-01,credit,global,252
25,0.0,2001-02-02,credit,global,252
26,0.0,2001-02-05,credit,global,252
27,0.0,2001-02-06,credit,global,252
28,0.0,2001-02-07,credit,global,252
29,0.0,2001-02-08,credit,global,252
30,0.0,2001-02-09,credit,global,252
31,0.0,2001-02-12,credit,global,252
32,0.0,2001-02-13,credit,global,252
33,0.0,2001-02-14,credit,global,252
34,0.0,2001-02-15,credit,global,252
35,0.0,2001-02-16,credit,global,252
36,0.0,2001-02-19,credit,global,252
37,0.0,2001-02-20,credit,global,252
38,0.0,2001-02-21,credit,global,252
39,0.0,2001-02-22,credit,global,252
40,0.0,2001-02-23,credit,global,252
41,0.0,2001-02-26,credit,global,252
42,0.0,2001-02-27,credit,global,252
43,0.0067567567567567,2001-02-28,credit,global,252
44,0.0,2001-03-01,credit,global,252
45,0.0,2001-03-02,credit,global,252
46,0.0,2001-03-05,credit,global,252
47,0.0,2001-03-06,credit,global,252
48,0.0,2001-03-07,credit,global,252
49,0.0,2001-03-08,credit,global,252
50,0.0,2001-03-09,credit,global,252
51,0.0,2001-03-12,credit,global,252
52,0.0,2001-03-13,credit,global,252
53,0.0,2001-03-14,credit,global,252
54,0.0,2001-03-15,credit,global,252
55,0.0,2001-03-16,credit,global,252
56,0.0,2001-03-19,credit,global,252
57,0.0,2001-03-20,credit,global,252
58,0.0,2001-03-21,credit,global,252
59,0.0,2001-03-22,credit,global,252
60,0.0,2001-03-23,credit,global,252
61,0.0,2001-03-26,credit,global,252
62,0.0,2001-03-27,credit,global,252
63,0.0,2001-03-28,credit,global,252
64,0.0,2001-03-29,credit,global,252
65,0.0086872586872586,2001-03-30,credit,global,252
66,0.0,2001-04-02,credit,global,252
67,0.0,2001-04-03,credit,global,252
68,0.0,2001-04-04,credit,global,252
69,0.0,2001-04-05,credit,global,252
70,0.0,2001-04-06,credit,global,252
71,0.0,2001-04-09,credit,global,252
72,0.0,2001-04-10,credit,global,252
73,0.0,2001-04-11,credit,global,252
74,0.0,2001-04-12,credit,global,252
75,0.0,2001-04-13,credit,global,252
76,0.0,2001-04-16,credit,global,252
77,0.0,2001-04-17,credit,global,252
78,0.0,2001-04-18,credit,global,252
79,0.0,2001-04-19,credit,global,252
80,0.0,2001-04-20,credit,global,252
81,0.0,2001-04-23,credit,global,252
82,0.0,2001-04-24,credit,global,252
83,0.0,2001-04-25,credit,global,252
84,0.0,2001-04-26,credit,global,252
85,0.0,2001-04-27,credit,global,252
86,0.0096525096525096,2001-04-30,credit,global,252
87,0.0,2001-05-01,credit,global,252
88,0.0,2001-05-02,credit,global,252
89,0.0,2001-05-03,credit,global,252
90,0.0,2001-05-04,credit,global,252
91,0.0,2001-05-07,credit,global,252
92,0.0,2001-05-08,credit,global,252
93,0.0,2001-05-09,credit,global,252
94,0.0,2001-05-10,credit,global,252
95,0.0,2001-05-11,credit,global,252
96,0.0,2001-05-14,credit,global,252
97,0.0,2001-05-15,credit,global,252
98,0.0,2001-05-16,credit,global,252
99,0.0,2001-05-17,credit,global,252
100,0.0,2001-05-18,credit,global,252
101,0.0,2001-05-21,credit,global,252
102,0.0,2001-05-22,credit,global,252
103,0.0,2001-05-23,credit,global,252
104,0.0,2001-05-24,credit,global,252
105,0.0,2001-05-25,credit,global,252
106,0.0,2001-05-28,credit,global,252
107,0.0,2001-05-29,credit,global,252
108,0.0,2001-05-30,credit,global,252
109,0.0067567567567567,2001-05-31,credit,global,252
110,0.0,2001-06-01,credit,global,252
111,0.0,2001-06-04,credit,global,252
112,0.0,2001-06-05,credit,global,252
113,0.0,2001-06-06,credit,global,252
114,0.0,2001-06-07,credit,global,252
115,0.0,2001-06-08,credit,global,252
116,0.0,2001-06-11,credit,global,252
117,0.0,2001-06-12,credit,global,252
118,0.0,2001-06-13,credit,global,252
119,0.0,2001-06-14,credit,global,252
120,0.0,2001-06-15,credit,global,252
121,0.0,2001-06-18,credit,global,252
122,0.0,2001-06-19,credit,global,252
123,0.0,2001-06-20,credit,global,252
124,0.0,2001-06-21,credit,global,252
125,0.0,2001-06-22,credit,global,252
126,0.0,2001-06-25,credit,global,252
127,0.0,2001-06-26,credit,global,252
128,0.0,2001-06-27,credit,global,252
