,0,Date,class,domain,lookback
0,0.0,2000-12-29,commodity,gold,252
1,0.0,2001-01-01,commodity,gold,252
2,0.0,2001-01-02,commodity,gold,252
3,0.0,2001-01-03,commodity,gold,252
4,0.0,2001-01-04,commodity,gold,252
5,0.0,2001-01-05,commodity,gold,252
6,0.0,2001-01-08,commodity,gold,252
7,0.0,2001-01-09,commodity,gold,252
8,0.0,2001-01-10,commodity,gold,252
9,0.0,2001-01-11,commodity,gold,252
10,0.0,2001-01-12,commodity,gold,252
11,0.0,2001-01-15,commodity,gold,252
12,0.0,2001-01-16,commodity,gold,252
13,0.0,2001-01-17,commodity,gold,252
14,0.0,2001-01-18,commodity,gold,252
15,0.0,2001-01-19,commodity,gold,252
16,0.0,2001-01-22,commodity,gold,252
17,0.0,2001-01-23,commodity,gold,252
18,0.0,2001-01-24,commodity,gold,252
19,0.0,2001-01-25,commodity,gold,252
20,0.0,2001-01-26,commodity,gold,252
21,0.0,2001-01-29,commodity,gold,252
22,0.0,2001-01-30,commodity,gold,252
23,0.0,2001-01-31,commodity,gold,252
24,0.0,2001-02-01,commodity,gold,252
25,0.0,2001-02-02,commodity,gold,252
26,0.0,2001-02-05,commodity,gold,252
27,0.0,2001-02-06,commodity,gold,252
28,0.0,2001-02-07,commodity,gold,252
29,0.0,2001-02-08,commodity,gold,252
30,0.0,2001-02-09,commodity,gold,252
31,0.0,2001-02-12,commodity,gold,252
32,0.0,2001-02-13,commodity,gold,252
33,0.0,2001-02-14,commodity,gold,252
34,0.0,2001-02-15,commodity,gold,252
35,0.0,2001-02-16,commodity,gold,252
36,0.0,2001-02-19,commodity,gold,252
37,0.0,2001-02-20,commodity,gold,252
38,0.0,2001-02-21,commodity,gold,252
39,0.0,2001-02-22,commodity,gold,252
40,0.0,2001-02-23,commodity,gold,252
41,0.0,2001-02-26,commodity,gold,252
42,0.0,2001-02-27,commodity,gold,252
43,0.0,2001-02-28,commodity,gold,252
44,0.0,2001-03-01,commodity,gold,252
45,0.0,2001-03-02,commodity,gold,252
46,0.0,2001-03-05,commodity,gold,252
47,0.0,2001-03-06,commodity,gold,252
48,0.0,2001-03-07,commodity,gold,252
49,0.0,2001-03-08,commodity,gold,252
50,0.0,2001-03-09,commodity,gold,252
51,0.0,2001-03-12,commodity,gold,252
52,0.0,2001-03-13,commodity,gold,252
53,0.0,2001-03-14,commodity,gold,252
54,0.0,2001-03-15,commodity,gold,252
55,0.0,2001-03-16,commodity,gold,252
56,0.0,2001-03-19,commodity,gold,252
57,0.0,2001-03-20,commodity,gold,252
58,0.0,2001-03-21,commodity,gold,252
59,0.0,2001-03-22,commodity,gold,252
60,0.0,2001-03-23,commodity,gold,252
61,0.0,2001-03-26,commodity,gold,252
62,0.0,2001-03-27,commodity,gold,252
63,0.0,2001-03-28,commodity,gold,252
64,0.0,2001-03-29,commodity,gold,252
65,0.0,2001-03-30,commodity,gold,252
66,0.0,2001-04-02,commodity,gold,252
67,0.0,2001-04-03,commodity,gold,252
68,0.0,2001-04-04,commodity,gold,252
69,0.0,2001-04-05,commodity,gold,252
70,0.0,2001-04-06,commodity,gold,252
71,0.0,2001-04-09,commodity,gold,252
72,0.0,2001-04-10,commodity,gold,252
73,0.0,2001-04-11,commodity,gold,252
74,0.0,2001-04-12,commodity,gold,252
75,0.0,2001-04-13,commodity,gold,252
76,0.0,2001-04-16,commodity,gold,252
77,0.0,2001-04-17,commodity,gold,252
78,0.0,2001-04-18,commodity,gold,252
79,0.0,2001-04-19,commodity,gold,252
80,0.0,2001-04-20,commodity,gold,252
81,0.0,2001-04-23,commodity,gold,252
82,0.0,2001-04-24,commodity,gold,252
83,0.0,2001-04-25,commodity,gold,252
84,0.0,2001-04-26,commodity,gold,252
85,0.0,2001-04-27,commodity,gold,252
86,0.0,2001-04-30,commodity,gold,252
87,0.0,2001-05-01,commodity,gold,252
88,0.0,2001-05-02,commodity,gold,252
89,0.0,2001-05-03,commodity,gold,252
90,0.0,2001-05-04,commodity,gold,252
91,0.0,2001-05-07,commodity,gold,252
92,0.0,2001-05-08,commodity,gold,252
93,0.0,2001-05-09,commodity,gold,252
94,0.0,2001-05-10,commodity,gold,252
95,0.0,2001-05-11,commodity,gold,252
96,0.0,2001-05-14,commodity,gold,252
97,0.0,2001-05-15,commodity,gold,252
98,0.0,2001-05-16,commodity,gold,252
99,0.0,2001-05-17,commodity,gold,252
100,0.0,2001-05-18,commodity,gold,252
101,0.0,2001-05-21,commodity,gold,252
102,0.0,2001-05-22,commodity,gold,252
103,0.0,2001-05-23,commodity,gold,252
104,0.0,2001-05-24,commodity,gold,252
105,0.0,2001-05-25,commodity,gold,252
106,0.0,2001-05-28,commodity,gold,252
107,0.0,2001-05-29,commodity,gold,252
108,0.0,2001-05-30,commodity,gold,252
109,0.0,2001-05-31,commodity,gold,252
110,0.0,2001-06-01,commodity,gold,252
111,0.0,2001-06-04,commodity,gold,252
112,0.0,2001-06-05,commodity,gold,252
113,0.0,2001-06-06,commodity,gold,252
114,0.0,2001-06-07,commodity,gold,252
115,0.0,2001-06-08,commodity,gold,252
116,0.0,2001-06-11,commodity,gold,252
117,0.0,2001-06-12,commodity,gold,252
118,0.0,2001-06-13,commodity,gold,252
119,0.0,2001-06-14,commodity,gold,252
120,0.0,2001-06-15,commodity,gold,252
121,0.0,2001-06-18,commodity,gold,252
122,0.0,2001-06-19,commodity,gold,252
123,0.0,2001-06-20,commodity,gold,252
124,0.0,2001-06-21,commodity,gold,252
125,0.0,2001-06-22,commodity,gold,252
126,0.0,2001-06-25,commodity,gold,252
127,0.0,2001-06-26,commodity,gold,252
128,0.0,2001-06-27,commodity,gold,252
129,0.0,2001-06-28,commodity,gold,252
130,0.0,2001-06-29,commodity,gold,252
131,0.0,2001-07-02,commodity,gold,252
132,0.0,2001-07-03,commodity,gold,252
133,0.0,2001-07-04,commodity,gold,252
134,0.0,2001-07-05,commodity,gold,252
135,0.0,2001-07-06,commodity,gold,252
136,0.0,2001-07-09,commodity,gold,252
137,0.0,2001-07-10,commodity,gold,252
138,0.0,2001-07-11,commodity,gold,252
139,0.0,2001-07-12,commodity,gold,252
140,0.0,2001-07-13,commodity,gold,252
141,0.0,2001-07-16,commodity,gold,252
142,0.0,2001-07-17,commodity,gold,252
143,0.0,2001-07-18,commodity,gold,252
144,0.0,2001-07-19,commodity,gold,252
